Pokemon,Category,Type 1,Type 2,Height (m),Weight (kg)
Weezing,Poison Gas Pokémon,Poison,,1.2 m,9.5 kg
Rhyhorn,Spikes Pokémon,Ground,Rock,1.0 m,115.0 kg
Rhydon,Drill Pokémon,Ground,Rock,1.9 m,120.0 kg
Chansey,Egg Pokémon,Normal,,1.1 m,34.6 kg
Tangela,Vine Pokémon,Grass,,1.0 m,35.0 kg
Kangaskhan,Parent Pokémon,Normal,,2.2 m,80.0 kg
Kangaskhan,Parent Pokémon,Normal,,2.2 m,80.0 kg
Horsea,Dragon Pokémon,Water,,0.4 m,8.0 kg
Seadra,Dragon Pokémon,Water,,1.2 m,25.0 kg
Goldeen,Goldfish Pokémon,Water,,0.6 m,15.0 kg
Seaking,Goldfish Pokémon,Water,,1.3 m,39.0 kg
Staryu,Star Shape Pokémon,Water,,0.8 m,34.5 kg
Starmie,Mysterious Pokémon,Water,Psychic,1.1 m,80.0 kg
Starmie,Mysterious Pokémon,Water,Psychic,1.1 m,80.0 kg
Mr. Mime,"Barrier Pokémon
Dancing Pokémon",Psychic,Fairy,1.3 m,54.5 kg
Mr. Mime,"Barrier Pokémon
Dancing Pokémon",Psychic,Fairy,1.3 m,54.5 kg
Scyther,Mantis Pokémon,Bug,Flying,1.5 m,56.0 kg
Jynx,Human Shape Pokémon,Ice,Psychic,1.4 m,40.6 kg
Electabuzz,Electric Pokémon,Electric,,1.1 m,30.0 kg
Magmar,Spitfire Pokémon,Fire,,1.3 m,44.5 kg
Pinsir,Stag Beetle Pokémon,Bug,,1.5 m,55.0 kg
Pinsir,Stag Beetle Pokémon,Bug,,1.5 m,55.0 kg
Tauros,Wild Bull Pokémon,Normal,,1.4 m,88.4 kg
Tauros,Wild Bull Pokémon,Normal,,1.4 m,88.4 kg
Tauros,Wild Bull Pokémon,Normal,,1.4 m,88.4 kg
Tauros,Wild Bull Pokémon,Normal,,1.4 m,88.4 kg
Magikarp,Fish Pokémon,Water,,0.9 m,10.0 kg
Gyarados,Atrocious Pokémon,Water,Flying,6.5 m,235.0 kg
Gyarados,Atrocious Pokémon,Water,Flying,6.5 m,235.0 kg
Lapras,Transport Pokémon,Water,Ice,2.5 m,220.0 kg
Ditto,Transform Pokémon,Normal,,0.3 m,4.0 kg
Eevee,Evolution Pokémon,Normal,,0.3 m,6.5 kg
Eevee,Evolution Pokémon,Normal,,0.3 m,6.5 kg
Vaporeon,Bubble Jet Pokémon,Water,,1.0 m,29.0 kg
Jolteon,Lightning Pokémon,Electric,,0.8 m,24.5 kg
Flareon,Flame Pokémon,Fire,,0.9 m,25.0 kg
Porygon,Virtual Pokémon,Normal,,0.8 m,36.5 kg
Omanyte,Spiral Pokémon,Rock,Water,0.4 m,7.5 kg
Omastar,Spiral Pokémon,Rock,Water,1.0 m,35.0 kg
Kabuto,Shellfish Pokémon,Rock,Water,0.5 m,11.5 kg
Kabutops,Shellfish Pokémon,Rock,Water,1.3 m,40.5 kg
Aerodactyl,Fossil Pokémon,Rock,Flying,1.8 m,59.0 kg
Aerodactyl,Fossil Pokémon,Rock,Flying,1.8 m,59.0 kg
Snorlax,Sleeping Pokémon,Normal,,2.1 m,460.0 kg
Articuno,"Freeze Pokémon
Cruel Pokémon",Ice,Flying,1.7 m,55.4 kg
Articuno,"Freeze Pokémon
Cruel Pokémon",Ice,Flying,1.7 m,55.4 kg
Zapdos,"Electric Pokémon
Strong Legs Pokémon",Electric,Flying,1.6 m,52.6 kg
Zapdos,"Electric Pokémon
Strong Legs Pokémon",Electric,Flying,1.6 m,52.6 kg
Moltres,"Flame Pokémon
Malevolent Pokémon",Fire,Flying,2.0 m,60.0 kg
Moltres,"Flame Pokémon
Malevolent Pokémon",Fire,Flying,2.0 m,60.0 kg
