Pokedex Number,Pokemon,Link,HP,Attack,Defense,Speed,Special Attack,Special Defense,Stat Total,Variation,Category,Type 1,Type 2,Height (m),Weight (kg),Generation
1,Bulbasaur,https://bulbapedia.bulbagarden.net/wiki/Bulbasaur_(Pok%C3%A9mon),45,49,49,45,65,65,318,,Seed Pokémon,Grass,Poison,0.7,6.9,1.0
2,Ivysaur,https://bulbapedia.bulbagarden.net/wiki/Ivysaur_(Pok%C3%A9mon),60,62,63,60,80,80,405,,Seed Pokémon,Grass,Poison,1.0,13.0,1.0
3,Venusaur,https://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pok%C3%A9mon),80,82,83,80,100,100,525,,Seed Pokémon,Grass,Poison,2.0,100.0,1.0
3,Venusaur,https://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pok%C3%A9mon),80,100,123,80,122,120,625,Mega Venusaur,Seed Pokémon,Grass,Poison,2.4,155.5,1.0
4,Charmander,https://bulbapedia.bulbagarden.net/wiki/Charmander_(Pok%C3%A9mon),39,52,43,65,60,50,309,,Lizard Pokémon,Fire,,0.6,8.5,1.0
5,Charmeleon,https://bulbapedia.bulbagarden.net/wiki/Charmeleon_(Pok%C3%A9mon),58,64,58,80,80,65,405,,Flame Pokémon,Fire,,1.1,19.0,1.0
6,Charizard,https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon),78,84,78,100,109,85,534,,Flame Pokémon,Fire,Flying,1.7,90.5,1.0
6,Charizard,https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon),78,130,111,100,130,85,634,Mega Charizard X,Flame Pokémon,Fire,Dragon,1.7,110.5,1.0
6,Charizard,https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon),78,104,78,100,159,115,634,Mega Charizard Y,Flame Pokémon,Fire,Flying,1.7,100.5,1.0
7,Squirtle,https://bulbapedia.bulbagarden.net/wiki/Squirtle_(Pok%C3%A9mon),44,48,65,43,50,64,314,,Tiny Turtle Pokémon,Water,,0.5,9.0,1.0
8,Wartortle,https://bulbapedia.bulbagarden.net/wiki/Wartortle_(Pok%C3%A9mon),59,63,80,58,65,80,405,,Turtle Pokémon,Water,,1.0,22.5,1.0
9,Blastoise,https://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pok%C3%A9mon),79,83,100,78,85,105,530,,Shellfish Pokémon,Water,,1.6,85.5,1.0
9,Blastoise,https://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pok%C3%A9mon),79,103,120,78,135,115,630,Mega Blastoise,Shellfish Pokémon,Water,,1.6,101.1,1.0
10,Caterpie,https://bulbapedia.bulbagarden.net/wiki/Caterpie_(Pok%C3%A9mon),45,30,35,45,20,20,195,,Worm Pokémon,Bug,,0.3,2.9,1.0
11,Metapod,https://bulbapedia.bulbagarden.net/wiki/Metapod_(Pok%C3%A9mon),50,20,55,30,25,25,205,,Cocoon Pokémon,Bug,,0.7,9.9,1.0
12,Butterfree,https://bulbapedia.bulbagarden.net/wiki/Butterfree_(Pok%C3%A9mon),60,45,50,70,90,80,395,,Butterfly Pokémon,Bug,Flying,1.1,32.0,1.0
