Pokedex Number,Pokemon,Link,HP,Attack,Defense,Speed,Special Attack,Special Defense,Stat Total
1,Bulbasaur,https://bulbapedia.bulbagarden.net/wiki/Bulbasaur_(Pok%C3%A9mon),45,49,49,45,65,65,318
2,Ivysaur,https://bulbapedia.bulbagarden.net/wiki/Ivysaur_(Pok%C3%A9mon),60,62,63,60,80,80,405
3,Venusaur,https://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pok%C3%A9mon),80,82,83,80,100,100,525
4,Charmander,https://bulbapedia.bulbagarden.net/wiki/Charmander_(Pok%C3%A9mon),39,52,43,65,60,50,309
5,Charmeleon,https://bulbapedia.bulbagarden.net/wiki/Charmeleon_(Pok%C3%A9mon),58,64,58,80,80,65,405
6,Charizard,https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon),78,84,78,100,109,85,534
7,Squirtle,https://bulbapedia.bulbagarden.net/wiki/Squirtle_(Pok%C3%A9mon),44,48,65,43,50,64,314
8,Wartortle,https://bulbapedia.bulbagarden.net/wiki/Wartortle_(Pok%C3%A9mon),59,63,80,58,65,80,405
9,Blastoise,https://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pok%C3%A9mon),79,83,100,78,85,105,530
10,Caterpie,https://bulbapedia.bulbagarden.net/wiki/Caterpie_(Pok%C3%A9mon),45,30,35,45,20,20,195
11,Metapod,https://bulbapedia.bulbagarden.net/wiki/Metapod_(Pok%C3%A9mon),50,20,55,30,25,25,205
12,Butterfree,https://bulbapedia.bulbagarden.net/wiki/Butterfree_(Pok%C3%A9mon),60,45,50,70,90,80,395
13,Weedle,https://bulbapedia.bulbagarden.net/wiki/Weedle_(Pok%C3%A9mon),40,35,30,50,20,20,195
14,Kakuna,https://bulbapedia.bulbagarden.net/wiki/Kakuna_(Pok%C3%A9mon),45,25,50,35,25,25,205
15,Beedrill,https://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pok%C3%A9mon),65,90,40,75,45,80,395
16,Pidgey,https://bulbapedia.bulbagarden.net/wiki/Pidgey_(Pok%C3%A9mon),40,45,40,56,35,35,251
17,Pidgeotto,https://bulbapedia.bulbagarden.net/wiki/Pidgeotto_(Pok%C3%A9mon),63,60,55,71,50,50,349
18,Pidgeot,https://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pok%C3%A9mon),83,80,75,101,70,70,479
19,Rattata,https://bulbapedia.bulbagarden.net/wiki/Rattata_(Pok%C3%A9mon),30,56,35,72,25,35,253
20,Raticate,https://bulbapedia.bulbagarden.net/wiki/Raticate_(Pok%C3%A9mon),55,81,60,97,50,70,413
21,Spearow,https://bulbapedia.bulbagarden.net/wiki/Spearow_(Pok%C3%A9mon),40,60,30,70,31,31,262
22,Fearow,https://bulbapedia.bulbagarden.net/wiki/Fearow_(Pok%C3%A9mon),65,90,65,100,61,61,442
23,Ekans,https://bulbapedia.bulbagarden.net/wiki/Ekans_(Pok%C3%A9mon),35,60,44,55,40,54,288
24,Arbok,https://bulbapedia.bulbagarden.net/wiki/Arbok_(Pok%C3%A9mon),60,95,69,80,65,79,448
